0,0,9.94
0,1,9.94
0,2,9.94
0,3,9.94
0,4,9.94
0,5,9.94
0,6,9.94
0,7,9.94
0,8,9.94
0,9,9.94
0,10,9.94
0,11,9.94
0,12,9.94
0,13,9.94
0,14,9.94
0,15,9.94
0,16,9.94
0,17,9.94
0,18,9.94
0,19,9.94
0,20,9.94
0,21,9.94
0,22,9.94
0,23,9.94
0,24,9.94
0,25,9.94
0,26,9.94
0,27,9.94
0,28,9.94
0,29,9.94
0,30,9.94

1,0,9.94
1,1,9.94
1,2,9.94
1,3,9.94
1,4,9.94
1,5,9.94
1,6,9.94
1,7,9.94
1,8,9.94
1,9,9.94
1,10,9.94
1,11,9.94
1,12,9.94
1,13,9.94
1,14,9.94
1,15,9.94
1,16,9.94
1,17,9.94
1,18,9.94
1,19,9.94
1,20,9.94
1,21,9.94
1,22,9.94
1,23,9.94
1,24,9.94
1,25,9.94
1,26,9.94
1,27,9.94
1,28,9.94
1,29,9.94
1,30,9.94

2,0,9.94
2,1,9.94
2,2,9.94
2,3,9.94
2,4,9.94
2,5,9.94
2,6,9.94
2,7,9.94
2,8,9.94
2,9,9.94
2,10,9.94
2,11,9.94
2,12,9.94
2,13,9.94
2,14,9.94
2,15,9.94
2,16,9.94
2,17,9.94
2,18,9.94
2,19,9.94
2,20,9.94
2,21,9.94
2,22,9.94
2,23,9.94
2,24,9.94
2,25,9.94
2,26,9.94
2,27,9.94
2,28,9.94
2,29,9.94
2,30,9.94

3,0,9.94
3,1,9.94
3,2,9.94
3,3,9.94
3,4,9.94
3,5,9.94
3,6,9.94
3,7,9.94
3,8,9.94
3,9,9.94
3,10,9.94
3,11,9.94
3,12,9.94
3,13,9.94
3,14,9.94
3,15,9.94
3,16,9.94
3,17,9.94
3,18,9.94
3,19,9.94
3,20,9.94
3,21,9.94
3,22,9.94
3,23,9.94
3,24,9.94
3,25,9.94
3,26,9.94
3,27,9.94
3,28,9.94
3,29,9.94
3,30,9.94

4,0,9.94
4,1,9.94
4,2,9.94
4,3,9.94
4,4,9.94
4,5,9.94
4,6,9.94
4,7,9.94
4,8,9.94
4,9,9.94
4,10,9.94
4,11,9.94
4,12,9.94
4,13,9.94
4,14,9.94
4,15,9.94
4,16,9.94
4,17,9.94
4,18,9.94
4,19,9.94
4,20,9.94
4,21,9.94
4,22,9.94
4,23,9.94
4,24,9.94
4,25,9.94
4,26,9.94
4,27,9.94
4,28,9.94
4,29,9.94
4,30,9.94

5,0,9.94
5,1,9.94
5,2,9.94
5,3,9.94
5,4,9.94
5,5,9.94
5,6,9.94
5,7,9.94
5,8,9.94
5,9,9.94
5,10,9.94
5,11,9.94
5,12,9.94
5,13,9.94
5,14,9.94
5,15,9.94
5,16,9.94
5,17,9.94
5,18,9.94
5,19,9.94
5,20,9.94
5,21,9.94
5,22,9.94
5,23,9.94
5,24,9.94
5,25,9.94
5,26,9.94
5,27,9.94
5,28,9.94
